,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3630,2015,10,LILLE,MARSEILLE ST CHARLES,298.066985646,209.0,0.0,17.0,20.4117647059,2.31100478469,35.0,44.7428571429,8.2966507177,0.3437500000000001,0.15625,0.25,0.0625,0.125,0.0625,35.0,44.7428571,15.0,8.0,2015-10-01,34.375,15.625,25.0,6.25,12.5,6.25
3632,2016,4,PARIS LYON,DIJON VILLE,96.0421836228,403.0,6.0,9.0,17.0,0.506203473945,17.0,20.2352941176,1.00248138958,0.352941176471,0.176470588235,0.176470588235,0.176470588235,0.117647058824,0.0,9.0,27.8888889,3.0,0.0,2016-04-01,35.29411764709999,17.6470588235,17.6470588235,17.6470588235,11.7647058824,0.0
3633,2016,4,PARIS LYON,LYON PART DIEU,119.879396985,597.0,11.0,15.0,17.133333333299998,0.5812395309880001,16.0,22.9375,0.294807370184,0.4,0.2,0.2,0.0666666666666999,0.133333333333,0.0,9.0,30.5555556,3.0,1.0,2016-04-01,40.0,20.0,20.0,6.666666666669999,13.3333333333,0.0
3634,2016,4,PARIS LYON,MARSEILLE ST CHARLES,204.163265306,441.0,8.0,19.0,16.894736842100002,0.895691609977,17.0,37.0,2.45124716553,0.470588235294,0.0,0.0588235294118,0.235294117647,0.235294117647,0.0,17.0,37.0,10.0,2.0,2016-04-01,47.0588235294,0.0,5.8823529411800015,23.5294117647,23.5294117647,0.0
3635,2016,4,MULHOUSE VILLE,PARIS LYON,168.527372263,274.0,4.0,17.0,15.1176470588,1.9197080292,17.0,21.2941176471,0.671532846715,0.1875,0.25,0.375,0.125,0.0,0.0625,11.0,25.8181818,2.0,0.0,2016-04-01,18.75,25.0,37.5,12.5,0.0,6.25
3636,2016,4,POITIERS,PARIS MONTPARNASSE,103.988347458,472.0,10.0,93.0,13.6559139785,3.77330508475,36.0,24.9166666667,1.88559322034,0.228571428571,0.228571428571,0.228571428571,0.114285714286,0.171428571429,0.0285714285714,24.0,31.25,9.0,1.0,2016-04-01,22.8571428571,22.8571428571,22.8571428571,11.4285714286,17.1428571429,2.85714285714
3637,2016,4,PARIS MONTPARNASSE,QUIMPER,265.320895522,201.0,3.0,15.0,12.8,1.2039800995,12.0,38.9166666667,2.8308457711400004,0.166666666667,0.166666666667,0.25,0.166666666667,0.166666666667,0.0833333333333,12.0,38.9166667,7.0,2.0,2016-04-01,16.6666666667,16.6666666667,25.0,16.6666666667,16.6666666667,8.333333333330001
3640,2016,5,DIJON VILLE,PARIS LYON,97.4255319149,423.0,0.0,64.0,19.859375,3.97399527187,29.0,33.8965517241,1.1536643026,0.357142857143,0.285714285714,0.25,0.107142857143,0.0,0.0,22.0,40.8181818,13.0,4.0,2016-05-01,35.7142857143,28.5714285714,25.0,10.7142857143,0.0,0.0
3647,2016,5,STUTTGART,PARIS EST,148.601851852,108.0,0.0,28.0,10.3214285714,4.28703703704,18.0,20.0555555556,3.675925925930001,0.222222222222,0.277777777778,0.444444444444,0.0555555555556,0.0,0.0,11.0,25.3636364,3.0,0.0,2016-05-01,22.2222222222,27.7777777778,44.4444444444,5.555555555560001,0.0,0.0
3648,2016,3,PARIS MONTPARNASSE,LE MANS,55.5273348519,439.0,13.0,29.0,18.3793103448,1.38041002278,43.0,24.604651162800003,2.50797266515,0.441176470588,0.0882352941176,0.0294117647059,0.147058823529,0.235294117647,0.0588235294118,17.0,48.0,9.0,5.0,2016-03-01,44.1176470588,8.823529411760003,2.9411764705900003,14.705882352899998,23.5294117647,5.8823529411800015
